station_id,window_start_vehicle,window_end_vehicle,window_start_time,window_end_time,n_observations,anomaly_score,anomaly_status,key_signals
S01,1,20,2026-01-05 06:01:30.000000,2026-01-05 06:30:00.000000,20,0.3985,LOW,none
S01,21,40,2026-01-05 06:31:30.000000,2026-01-05 07:00:00.000000,20,0.3635,LOW,none
S01,41,60,2026-01-05 07:01:30.000000,2026-01-05 07:30:00.000000,20,0.4066,LOW,none
S01,61,80,2026-01-05 07:31:30.000000,2026-01-05 08:00:00.000000,20,0.422,LOW,none
S01,81,100,2026-01-05 08:01:30.000000,2026-01-05 08:30:00.000000,20,0.4109,LOW,none
S01,101,120,2026-01-05 08:31:30.000000,2026-01-05 09:00:00.000000,20,0.4035,LOW,none
S01,121,140,2026-01-05 09:01:30.000000,2026-01-05 09:30:00.000000,20,0.4615,LOW,none
S01,141,160,2026-01-05 09:31:30.000000,2026-01-05 10:00:00.000000,20,0.4221,LOW,none
S01,161,180,2026-01-05 10:01:30.000000,2026-01-05 10:30:00.000000,20,0.4613,LOW,none
S01,181,200,2026-01-05 10:31:30.000000,2026-01-05 11:00:00.000000,20,0.4098,LOW,none
S01,201,220,2026-01-05 11:01:30.000000,2026-01-05 11:30:00.000000,20,0.4611,LOW,none
S01,221,240,2026-01-05 11:31:30.000000,2026-01-05 12:00:00.000000,20,0.3736,LOW,none
S01,241,260,2026-01-05 12:01:30.000000,2026-01-05 12:30:00.000000,20,0.3901,LOW,none
S01,261,280,2026-01-05 12:31:30.000000,2026-01-05 13:00:00.000000,20,0.4528,LOW,none
S01,281,300,2026-01-05 13:01:30.000000,2026-01-05 13:30:00.000000,20,0.4082,LOW,none
S01,301,320,2026-01-05 13:31:30.000000,2026-01-05 14:00:00.000000,20,0.411,LOW,none
S01,321,340,2026-01-05 14:01:30.000000,2026-01-05 14:30:00.000000,20,0.4484,LOW,none
S01,341,360,2026-01-05 14:31:30.000000,2026-01-05 15:00:00.000000,20,0.4029,LOW,none
S01,361,380,2026-01-05 15:01:30.000000,2026-01-05 15:30:00.000000,20,0.3955,LOW,none
S01,381,400,2026-01-05 15:31:30.000000,2026-01-05 16:00:00.000000,20,0.4342,LOW,none
S02,1,20,2026-01-05 06:02:44.334661,2026-01-05 06:31:05.767841,20,0.3446,LOW,none
S02,21,40,2026-01-05 06:32:46.883703,2026-01-05 07:01:16.151681,20,0.3735,LOW,none
S02,41,60,2026-01-05 07:02:43.217884,2026-01-05 07:31:08.089398,20,0.2602,LOW,none
S02,61,80,2026-01-05 07:32:41.273762,2026-01-05 08:01:07.884286,20,0.3185,LOW,none
S02,81,100,2026-01-05 08:02:40.596935,2026-01-05 08:31:17.424764,20,0.359,LOW,none
S02,101,120,2026-01-05 08:32:46.004881,2026-01-05 09:01:12.838818,20,0.325,LOW,none
S02,121,140,2026-01-05 09:02:41.368272,2026-01-05 09:31:18.911251,20,0.2917,LOW,none
S02,141,160,2026-01-05 09:32:48.714031,2026-01-05 10:01:16.532648,20,0.4114,MEDIUM,none
S02,161,180,2026-01-05 10:02:40.848945,2026-01-05 10:31:14.958923,20,0.3146,LOW,none
