vehicle_id,timestamp,station_id,station_type,cycle_time,queue_length,throughput,torque,temperature,vibration,part_quality,operator_variation,sensor_coverage,inspection_result,defect
V00001,2026-01-05 06:01:30.000000,S01,Body Construction,74.33,1.17,50.43,97.94,22.44,0.513,0.917,-0.001,HIGH,,False
V00001,2026-01-05 06:02:44.334661,S02,Body Construction,72.11,2.7,48.47,103.02,24.56,0.414,0.945,-0.029,HIGH,,False
V00001,2026-01-05 06:03:56.444780,S03,Body Construction,83.16,1.96,45.32,101.01,23.81,0.457,0.916,0.016,HIGH,,False
V00001,2026-01-05 06:05:19.608635,S04,Body Construction,83.8,2.33,44.47,105.41,23.39,,0.955,0.068,PARTIAL,,False
V00001,2026-01-05 06:06:43.406620,S05,Body Construction,69.52,1.33,50.16,103.81,24.65,0.433,0.939,0.004,HIGH,,False
V00001,2026-01-05 06:07:52.928040,S06,Body Construction,73.96,2.7,49.65,102.21,24.35,0.563,0.872,-0.01,HIGH,,False
V00001,2026-01-05 06:09:06.885896,S07,Body Construction,73.86,1.49,46.98,102.32,,0.332,0.917,0.01,PARTIAL,,False
V00001,2026-01-05 06:10:20.740997,S08,Body Construction,81.78,2.57,46.65,97.8,,,0.879,-0.068,PARTIAL,,False
V00001,2026-01-05 06:11:42.519691,S09,Body Construction,77.48,2.4,44.09,101.0,24.19,0.563,0.918,0.014,HIGH,,False
V00001,2026-01-05 06:12:59.995986,S10,Body Construction,67.22,1.71,50.84,97.63,,0.501,0.949,0.013,HIGH,PASS,False
V00001,2026-01-05 06:14:07.215897,S11,Paint,88.47,2.66,40.35,91.32,58.41,0.4,0.946,-0.027,HIGH,,False
V00001,2026-01-05 06:15:35.689984,S12,Paint,90.89,4.04,38.3,,59.75,,0.916,0.05,PARTIAL,,False
V00001,2026-01-05 06:17:06.579837,S13,Paint,86.95,3.35,37.38,,,,0.939,0.001,PARTIAL,,False
V00001,2026-01-05 06:18:33.526832,S14,Paint,110.71,2.81,34.55,,,,0.944,0.146,MANUAL,,False
V00001,2026-01-05 06:20:24.233612,S15,Paint,78.94,2.49,41.18,95.39,60.76,0.478,0.871,-0.03,HIGH,,False
V00001,2026-01-05 06:21:43.170921,S16,Paint,90.67,3.67,42.87,,,0.287,0.941,-0.049,PARTIAL,,False
V00001,2026-01-05 06:23:13.845085,S17,Paint,90.68,2.51,38.55,103.59,59.81,0.396,0.863,-0.015,HIGH,,False
V00001,2026-01-05 06:24:44.527391,S18,Paint,96.69,4.41,37.26,101.7,58.58,,0.901,0.128,PARTIAL,,False
V00001,2026-01-05 06:26:21.214377,S19,Paint,96.02,3.67,34.68,,,,0.904,0.045,MANUAL,,False
V00001,2026-01-05 06:27:57.236774,S20,Paint,82.68,2.02,40.73,104.47,60.19,0.488,0.941,0.039,HIGH,PASS,False
V00001,2026-01-05 06:29:19.916358,S21,Final Assembly,66.32,3.39,53.62,,,,0.996,0.172,MANUAL,,False
V00001,2026-01-05 06:30:26.239775,S22,Final Assembly,70.24,2.19,52.93,94.44,24.77,0.461,0.93,-0.005,HIGH,FAIL,True
V00001,2026-01-05 06:31:36.475023,S23,Final Assembly,80.25,2.57,49.59,,,,0.895,-0.033,MANUAL,,False
V00001,2026-01-05 06:32:56.724242,S24,Final Assembly,81.23,1.44,46.8,,25.2,,0.983,-0.009,PARTIAL,,False
V00001,2026-01-05 06:34:17.955712,S25,Final Assembly,62.29,2.32,55.79,,,,1.0,0.188,MANUAL,,False
V00001,2026-01-05 06:35:20.241536,S26,Final Assembly,64.52,2.27,50.62,,,,0.904,-0.215,MANUAL,,False
V00001,2026-01-05 06:36:24.760303,S27,Final Assembly,70.31,1.65,49.9,97.13,,0.353,1.0,-0.077,PARTIAL,,False
V00001,2026-01-05 06:37:35.067346,S28,Final Assembly,69.13,3.97,52.89,,,,0.891,-0.025,MANUAL,,False
V00001,2026-01-05 06:38:44.197618,S29,Final Assembly,80.59,2.85,46.23,,,,0.939,-0.056,MANUAL,,False
V00001,2026-01-05 06:40:04.788918,S30,Final Assembly,66.84,3.31,55.64,101.19,24.0,0.428,0.943,-0.003,HIGH,PASS,False
V00002,2026-01-05 06:03:00.000000,S01,Body Construction,79.89,2.31,48.19,99.64,24.32,0.548,0.86,0.028,HIGH,,False
